"feelsLike","rain","humidity","temperature","time2","date"
"4.4","0","62","6.7","5/1/2023, 12:00:00 AM","00:00"
"3.7","0","62","6.2","5/1/2023, 1:00:00 AM","01:00"
"2.3","0","72","4.8","5/1/2023, 2:00:00 AM","02:00"
"1.7","0","73","4.2","5/1/2023, 3:00:00 AM","03:00"
"1.4","0","75","4","5/1/2023, 4:00:00 AM","04:00"
"-0.1","0","83","2.5","5/1/2023, 5:00:00 AM","05:00"
"-0.2","0","81","2.5","5/1/2023, 6:00:00 AM","06:00"
"1.1","0","83","3.6","5/1/2023, 7:00:00 AM","07:00"
"5.5","0","67","7.8","5/1/2023, 8:00:00 AM","08:00"
"7.1","0","60","9.9","5/1/2023, 9:00:00 AM","09:00"
"9.3","0","58","11.6","5/1/2023, 10:00:00 AM","10:00"
"10.9","0","48","13","5/1/2023, 11:00:00 AM","11:00"
"12.6","0","47","14","5/1/2023, 12:00:00 PM","12:00"
"13.8","0","46","15","5/1/2023, 1:00:00 PM","13:00"
"13.8","0","37","15.8","5/1/2023, 2:00:00 PM","14:00"
"14","0","37","16.4","5/1/2023, 3:00:00 PM","15:00"
"13.3","0","35","16.5","5/1/2023, 4:00:00 PM","16:00"
"12.6","0","35","16.4","5/1/2023, 5:00:00 PM","17:00"
"12.2","0","37","15.7","5/1/2023, 6:00:00 PM","18:00"
"11.3","0","48","14.1","5/1/2023, 7:00:00 PM","19:00"
"8.9","0","57","11.6","5/1/2023, 8:00:00 PM","20:00"
"7.5","0","59","10.4","5/1/2023, 9:00:00 PM","21:00"
"6.9","0","55","10.2","5/1/2023, 10:00:00 PM","22:00"
"6.4","0","58","9.5","5/1/2023, 11:00:00 PM","23:00"
"5.5","0","63","8.5","5/2/2023, 12:00:00 AM","00:00"
"4.8","0","62","7.9","5/2/2023, 1:00:00 AM","01:00"
"4.4","0","60","7.5","5/2/2023, 2:00:00 AM","02:00"
"4.3","0","56","7.6","5/2/2023, 3:00:00 AM","03:00"
"4","0","57","7.2","5/2/2023, 4:00:00 AM","04:00"
"3.4","0","60","6.5","5/2/2023, 5:00:00 AM","05:00"
"3.3","0","66","6.3","5/2/2023, 6:00:00 AM","06:00"
"5.8","0","69","8.4","5/2/2023, 7:00:00 AM","07:00"
"10","0","61","12.2","5/2/2023, 8:00:00 AM","08:00"
"13","8","54","15.3","5/2/2023, 9:00:00 AM","09:00"
"14.5","15","60","16.6","5/2/2023, 10:00:00 AM","10:00"
"16.8","23","60","18.1","5/2/2023, 11:00:00 AM","11:00"
"18.3","37","52","19.7","5/2/2023, 12:00:00 PM","12:00"
"19.5","51","46","20.5","5/2/2023, 1:00:00 PM","13:00"
"19.7","65","46","20.6","5/2/2023, 2:00:00 PM","14:00"
"17.6","77","57","19","5/2/2023, 3:00:00 PM","15:00"
"16.1","88","62","18.1","5/2/2023, 4:00:00 PM","16:00"
"15.8","100","70","17","5/2/2023, 5:00:00 PM","17:00"
"15.1","100","71","16.4","5/2/2023, 6:00:00 PM","18:00"
"14.1","100","83","14.6","5/2/2023, 7:00:00 PM","19:00"
"13.7","100","92","13.5","5/2/2023, 8:00:00 PM","20:00"
"13","94","94","12.9","5/2/2023, 9:00:00 PM","21:00"
"12.1","87","96","12.4","5/2/2023, 10:00:00 PM","22:00"
"11.8","81","96","12.1","5/2/2023, 11:00:00 PM","23:00"
"9.7","74","88","11.4","5/3/2023, 12:00:00 AM","00:00"
"9.6","68","90","10.7","5/3/2023, 1:00:00 AM","01:00"
"9.5","61","93","10.4","5/3/2023, 2:00:00 AM","02:00"
"9.5","63","95","10.2","5/3/2023, 3:00:00 AM","03:00"
"9.3","66","95","10.1","5/3/2023, 4:00:00 AM","04:00"
"9","68","95","9.8","5/3/2023, 5:00:00 AM","05:00"
"8.9","66","94","9.8","5/3/2023, 6:00:00 AM","06:00"
"9.1","63","93","10.1","5/3/2023, 7:00:00 AM","07:00"
"8.8","61","92","10.4","5/3/2023, 8:00:00 AM","08:00"
"9.4","61","94","10.7","5/3/2023, 9:00:00 AM","09:00"
"9.7","61","90","11.2","5/3/2023, 10:00:00 AM","10:00"
"10.1","61","81","12","5/3/2023, 11:00:00 AM","11:00"
"10","52","81","12","5/3/2023, 12:00:00 PM","12:00"
"10.2","44","77","12.2","5/3/2023, 1:00:00 PM","13:00"
"10.9","35","69","12.9","5/3/2023, 2:00:00 PM","14:00"
"11.3","32","65","13.2","5/3/2023, 3:00:00 PM","15:00"
"11.7","29","62","13.7","5/3/2023, 4:00:00 PM","16:00"
"11.8","26","60","13.8","5/3/2023, 5:00:00 PM","17:00"
"11.4","26","63","13.2","5/3/2023, 6:00:00 PM","18:00"
"10.8","26","68","12.4","5/3/2023, 7:00:00 PM","19:00"
"9.5","26","65","11.4","5/3/2023, 8:00:00 PM","20:00"
"8.1","22","69","10.2","5/3/2023, 9:00:00 PM","21:00"
"6.8","17","70","9","5/3/2023, 10:00:00 PM","22:00"
"6","13","71","8.2","5/3/2023, 11:00:00 PM","23:00"
"5.3","11","72","7.4","5/4/2023, 12:00:00 AM","00:00"
"4.7","8","74","6.9","5/4/2023, 1:00:00 AM","01:00"
"4.2","6","77","6.3","5/4/2023, 2:00:00 AM","02:00"
"3.5","5","79","5.6","5/4/2023, 3:00:00 AM","03:00"
"3.2","4","79","5.3","5/4/2023, 4:00:00 AM","04:00"
"2","3","82","4.3","5/4/2023, 5:00:00 AM","05:00"
"2.1","3","84","4.1","5/4/2023, 6:00:00 AM","06:00"
"3.6","3","84","5.5","5/4/2023, 7:00:00 AM","07:00"
"5.6","3","75","7.7","5/4/2023, 8:00:00 AM","08:00"
"7.6","3","69","9.7","5/4/2023, 9:00:00 AM","09:00"
"10","3","65","11.6","5/4/2023, 10:00:00 AM","10:00"
"10.9","3","54","13","5/4/2023, 11:00:00 AM","11:00"
"11.2","6","47","13.8","5/4/2023, 12:00:00 PM","12:00"
"11.6","10","43","14.3","5/4/2023, 1:00:00 PM","13:00"
"11.6","13","40","14.8","5/4/2023, 2:00:00 PM","14:00"
"11.7","12","40","15","5/4/2023, 3:00:00 PM","15:00"
"11.6","11","39","15.1","5/4/2023, 4:00:00 PM","16:00"
"11.1","10","38","14.7","5/4/2023, 5:00:00 PM","17:00"
"10.5","8","40","14","5/4/2023, 6:00:00 PM","18:00"
"10","5","47","12.7","5/4/2023, 7:00:00 PM","19:00"
"8.6","3","57","10.7","5/4/2023, 8:00:00 PM","20:00"
"7.8","2","58","9.9","5/4/2023, 9:00:00 PM","21:00"
"6.9","1","58","9.1","5/4/2023, 10:00:00 PM","22:00"
"5.6","0","58","8.1","5/4/2023, 11:00:00 PM","23:00"
"4.6","0","61","7.2","5/5/2023, 12:00:00 AM","00:00"
"3.5","0","66","6.2","5/5/2023, 1:00:00 AM","01:00"
"2.3","0","72","5.1","5/5/2023, 2:00:00 AM","02:00"
"1.5","0","76","4.3","5/5/2023, 3:00:00 AM","03:00"
"0.6","0","79","3.5","5/5/2023, 4:00:00 AM","04:00"
"0.7","0","80","3.5","5/5/2023, 5:00:00 AM","05:00"
"2.2","1","77","4.8","5/5/2023, 6:00:00 AM","06:00"
"4.6","2","71","7","5/5/2023, 7:00:00 AM","07:00"
"7.8","3","63","9.9","5/5/2023, 8:00:00 AM","08:00"
"9.7","7","58","11.7","5/5/2023, 9:00:00 AM","09:00"
"11.5","12","53","13.4","5/5/2023, 10:00:00 AM","10:00"
"13.5","16","48","15","5/5/2023, 11:00:00 AM","11:00"
"13.6","24","47","15.3","5/5/2023, 12:00:00 PM","12:00"
"12.6","31","48","15.1","5/5/2023, 1:00:00 PM","13:00"
"12","39","50","14.7","5/5/2023, 2:00:00 PM","14:00"
"11.9","35","50","14.7","5/5/2023, 3:00:00 PM","15:00"
"11.6","30","50","14.7","5/5/2023, 4:00:00 PM","16:00"
"11","26","52","14.3","5/5/2023, 5:00:00 PM","17:00"
"10.3","18","56","13.4","5/5/2023, 6:00:00 PM","18:00"
"9.4","11","60","12.2","5/5/2023, 7:00:00 PM","19:00"
"8","3","66","10.6","5/5/2023, 8:00:00 PM","20:00"
"7.1","2","69","9.7","5/5/2023, 9:00:00 PM","21:00"
"6.2","1","70","8.9","5/5/2023, 10:00:00 PM","22:00"
"5.1","0","71","8","5/5/2023, 11:00:00 PM","23:00"
"4.2","0","69","7.3","5/6/2023, 12:00:00 AM","00:00"
"3.4","0","67","6.8","5/6/2023, 1:00:00 AM","01:00"
"2.4","0","63","6.1","5/6/2023, 2:00:00 AM","02:00"
"1.8","0","61","5.7","5/6/2023, 3:00:00 AM","03:00"
"1.2","0","59","5.3","5/6/2023, 4:00:00 AM","04:00"
"0.7","0","59","5","5/6/2023, 5:00:00 AM","05:00"
"0.6","2","62","4.8","5/6/2023, 6:00:00 AM","06:00"
"0.7","4","66","4.8","5/6/2023, 7:00:00 AM","07:00"
"0.9","6","70","4.9","5/6/2023, 8:00:00 AM","08:00"
"1.2","7","71","5.1","5/6/2023, 9:00:00 AM","09:00"
"1.5","9","70","5.5","5/6/2023, 10:00:00 AM","10:00"
"1.9","10","69","5.9","5/6/2023, 11:00:00 AM","11:00"
"2.3","13","68","6.3","5/6/2023, 12:00:00 PM","12:00"
"2.6","16","66","6.7","5/6/2023, 1:00:00 PM","13:00"
"3","19","65","7.1","5/6/2023, 2:00:00 PM","14:00"
"2.9","22","70","6.9","5/6/2023, 3:00:00 PM","15:00"
"2.8","26","68","6.9","5/6/2023, 4:00:00 PM","16:00"
"2.9","29","67","6.8","5/6/2023, 5:00:00 PM","17:00"
"3.2","24","68","6.7","5/6/2023, 6:00:00 PM","18:00"
"3.6","18","71","6.5","5/6/2023, 7:00:00 PM","19:00"
"3.9","13","73","6.3","5/6/2023, 8:00:00 PM","20:00"
"3.9","11","72","6.1","5/6/2023, 9:00:00 PM","21:00"
"3.6","8","71","5.9","5/6/2023, 10:00:00 PM","22:00"
"2.8","6","68","5.6","5/6/2023, 11:00:00 PM","23:00"
"2.1","6","65","5.4","5/7/2023, 12:00:00 AM","00:00"
"1.3","6","61","5.2","5/7/2023, 1:00:00 AM","01:00"
"0.3","6","58","4.9","5/7/2023, 2:00:00 AM","02:00"
"-0.4","6","58","4.3","5/7/2023, 3:00:00 AM","03:00"
"-0.9","6","58","3.6","5/7/2023, 4:00:00 AM","04:00"
"-1.2","6","59","3","5/7/2023, 5:00:00 AM","05:00"
"-1.2","5","59","3.1","5/7/2023, 6:00:00 AM","06:00"
"-0.8","4","59","3.6","5/7/2023, 7:00:00 AM","07:00"
"0.1","3","58","4.6","5/7/2023, 8:00:00 AM","08:00"
"1.1","5","55","5.8","5/7/2023, 9:00:00 AM","09:00"
"2.5","8","50","7.4","5/7/2023, 10:00:00 AM","10:00"
"4.6","10","44","9.3","5/7/2023, 11:00:00 AM","11:00"
"5.9","10","41","10.3","5/7/2023, 12:00:00 PM","12:00"
"6.9","10","38","11.1","5/7/2023, 1:00:00 PM","13:00"
"7.7","10","35","11.8","5/7/2023, 2:00:00 PM","14:00"
"7.7","13","34","12.1","5/7/2023, 3:00:00 PM","15:00"
"7.3","16","34","12.2","5/7/2023, 4:00:00 PM","16:00"
"6.6","19","36","11.9","5/7/2023, 5:00:00 PM","17:00"
"6.5","16","38","11.2","5/7/2023, 6:00:00 PM","18:00"
"6.1","13","41","10.2","5/7/2023, 7:00:00 PM","19:00"
"5.4","10","48","8.7","5/7/2023, 8:00:00 PM","20:00"
"4.4","9","56","7.3","5/7/2023, 9:00:00 PM","21:00"
"3.1","7","66","5.7","5/7/2023, 10:00:00 PM","22:00"
"1.3","6","77","3.8","5/7/2023, 11:00:00 PM","23:00"